Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,hours,minutes,duration
John Rambo,Tamil,7.0,2008.0,18+,1,26,1-2 hrs
American Pie,English,7.0,1999.0,18+,1,35,1-2 hrs
Bombshell,English,6.8,2019.0,18+,1,48,1-2 hrs
Love Birds,Tamil,5.1,1996.0,All,2,40,2-3 hrs
Hippi,Telugu,5.0,2019.0,18+,2,20,2-3 hrs
Honey Bunny As Super Team X,Tamil,,2018.0,7+,0,49,30-60 mins
Ayyaa,Tamil,5.7,2005.0,All,2,39,2-3 hrs
Mukhya Mantri,Bengali,,1996.0,NR,1,57,1-2 hrs
Gandhi Fer Aa Gea,Punjabi,4.9,2020.0,13+,2,13,2-3 hrs
Premada Vayasu,Kannada,6.0,1997.0,NR,1,56,1-2 hrs
Tum Se Achcha Kaun Hai,Hindi,4.5,2002.0,All,2,21,2-3 hrs
Swamy,Kannada,6.0,2005.0,All,2,34,2-3 hrs
Ekkees Tareekh Shubh Muhurat,Hindi,5.7,2018.0,All,1,33,1-2 hrs
Sealers: One Last Hunt,English,7.7,2020.0,13+,0,56,30-60 mins
Lonavala Bypass,Marathi,,2009.0,13+,1,46,1-2 hrs
Project Almanac,English,6.4,2015.0,13+,1,46,1-2 hrs
Nanna Prema,Telugu,,2019.0,13+,2,23,2-3 hrs
Ghost Stories,English,6.4,2018.0,18+,1,33,1-2 hrs
Basthi Mey Saval,Telugu,,2002.0,NR,1,49,1-2 hrs
Jaani Dushman: Ek Anokhi Kahani,Hindi,2.8,2002.0,13+,2,32,2-3 hrs
Devdas,Hindi,7.6,,All,2,35,2-3 hrs
Akashadoothu,Malayalam,7.4,1993.0,All,2,13,2-3 hrs
Mera Pind: My Home,Punjabi,6.6,2008.0,All,2,44,2-3 hrs
City of football,Bengali,,2019.0,13+,0,2,<30 mins
300: Rise of an Empire,Tamil,6.2,2014.0,18+,1,42,1-2 hrs
Nana Mama,Marathi,5.8,2006.0,All,2,19,2-3 hrs
Hutututu Aavi Ramat Ni Rutu,Gujarati,7.2,2016.0,All,2,13,2-3 hrs
Uss Din,Hindi,7.4,2010.0,18+,0,11,<30 mins
Edge of Obedience,English,8.6,2020.0,13+,0,51,30-60 mins
Eye To Eye With Everest: Death On A Mountain,English,,2019.0,13+,1,25,1-2 hrs
Megh-O-Roudra,Bengali,,,NR,1,36,1-2 hrs
Kanhaiya Ek Yodha (Hindi),Hindi,4.7,2019.0,13+,1,56,1-2 hrs
Yajamana,Kannada,6.7,2019.0,13+,2,41,2-3 hrs
Sketch,Telugu,5.7,2018.0,13+,2,13,2-3 hrs
Toonpur Ka Superrhero,Hindi,4.2,2010.0,NR,1,35,1-2 hrs
Pinky Mogewali,Punjabi,3.7,2012.0,13+,2,14,2-3 hrs
Ong-Bak: Muay Thai Warrior,English,7.2,2005.0,16+,1,40,1-2 hrs
Murder,Telugu,,2020.0,13+,1,50,1-2 hrs
Great Sardaar,Punjabi,5.2,2017.0,13+,1,48,1-2 hrs
Kharij,Bengali,,2019.0,13+,1,30,1-2 hrs
Open Water,English,5.7,2004.0,18+,1,19,1-2 hrs
Prema Kama,Kannada,5.9,1978.0,NR,1,38,1-2 hrs
Jhankaar Beats,Hindi,7.2,2003.0,18+,2,11,2-3 hrs
Volcano Returns,Hindi,,2014.0,NR,1,24,1-2 hrs
Law Abiding Citizen,Tamil,7.4,2009.0,18+,1,44,1-2 hrs
Sei To Abar Kache Ele,Bengali,,2017.0,13+,2,18,2-3 hrs
48 Hrs.,English,6.9,1982.0,18+,1,36,1-2 hrs
