,year,Action,Adventure,Animation,Anime,Arthouse,Arts,Comedy,Documentary,Drama,Faith and Spirituality,Fantasy,Fitness,Historical,Horror,International,Kids,LGBTQ,Military and War,Music Videos and Concerts,Romance,Science Fiction,Special Interest,Sports,Suspense,TV Shows,Talk Show and Variety,Unscripted,Western,Young Adult Audience
0,1920,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,6.550000000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1,1922,6.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.6,4.0,4.0,4.0,4.0,4.0
2,1923,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3,1924,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4,1925,5.825,4.0,4.0,4.0,4.0,4.0,6.8,4.0,6.7,4.0,4.0,4.0,4.0,5.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
5,1926,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
6,1927,4.0,4.0,4.0,4.0,4.0,4.0,4.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
7,1929,5.449999999999999,7.7,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
8,1930,5.3,4.0,4.0,4.0,4.0,5.2,5.4,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
9,1931,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.0
10,1932,7.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.7,4.0,4.0,4.0,4.0,2.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.4,4.0,4.0,4.0,4.0,4.0,5.0,4.0
11,1933,6.75,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
12,1934,5.866666666666667,4.0,4.0,4.0,4.0,4.0,7.1,4.0,7.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.575,4.0
13,1935,5.725,4.0,4.0,4.0,4.0,4.0,7.35,4.0,6.05,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,6.375,4.0
14,1936,6.199999999999999,4.0,4.0,4.0,4.0,6.0,6.033333333333334,4.0,5.442857142857143,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.6,4.0,4.0,4.0,6.2,4.0
15,1937,5.733333333333333,4.0,4.0,4.0,4.0,5.2749999999999995,7.366666666666667,4.0,6.383333333333333,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.975,4.0
16,1938,5.68,4.0,4.0,4.0,4.0,6.5,5.933333333333334,4.0,6.475,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.4,4.0
17,1939,5.58,3.7,7.5,4.0,4.0,4.0,6.333333333333333,4.0,6.24,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.3,4.0,4.0,4.0,4.0,4.0,5.85,4.0,4.0,4.0,5.6,4.0
18,1940,6.3,4.8,4.0,4.0,4.0,4.0,5.720000000000001,4.0,6.220000000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.65,4.0
19,1941,5.275,4.0,4.0,4.0,4.0,5.9,5.457142857142857,4.0,5.76,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.4,4.0
20,1942,6.4799999999999995,4.0,4.0,4.0,4.0,4.0,7.1000000000000005,4.0,6.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.675,4.0,4.0,4.0,6.6000000000000005,4.0
21,1943,5.683333333333334,5.6,4.0,4.0,4.0,5.6,6.25,4.0,6.6000000000000005,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.599999999999999,4.0,4.0,4.0,5.26,4.0
22,1944,6.1,4.0,4.0,4.0,4.0,7.0,4.0,4.0,6.35,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,7.066666666666666,4.0
23,1945,6.633333333333333,4.0,4.0,4.0,4.0,5.733333333333333,5.0,4.8,5.975,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.5,4.0,4.0,4.0,4.0,4.0,6.9,4.0
24,1946,5.433333333333334,5.0,4.0,4.0,4.0,7.3,6.1,4.0,6.555555555555555,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.2,4.0,4.0,4.0,5.45,4.0
25,1947,4.533333333333333,4.0,4.0,4.0,4.0,6.32,6.15,4.0,5.928571428571429,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.040000000000001,4.0
26,1948,8.2,5.0,4.0,4.0,4.0,5.8,5.466666666666666,4.0,6.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.9,4.0,4.0,4.0,4.566666666666666,4.0
27,1949,6.3999999999999995,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.26,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.05,4.0
28,1950,6.15,4.0,4.0,4.0,4.0,4.0,6.2,4.0,6.385714285714286,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.875,4.0,4.0,4.0,4.0,4.0,6.18,4.0
29,1951,6.9,6.8,4.0,4.0,4.0,4.6,6.1,4.0,7.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.466666666666668,4.0,4.0,4.0,4.0,4.0,4.0,4.0
30,1952,4.95,3.5,4.0,4.0,4.0,4.0,5.8,4.0,5.86,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.1,4.0
31,1953,5.8,5.2,4.0,4.0,4.0,7.9,5.2,4.0,6.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.64,4.0
32,1954,5.833333333333333,4.0,4.0,4.0,4.0,8.1,6.400000000000001,4.0,5.35,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.7,4.0,4.0,4.0,4.0,4.0,6.3,4.0
33,1955,5.275,4.0,4.0,4.0,4.0,7.8,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,6.6,4.0,4.0
34,1956,5.650000000000001,4.0,4.0,4.0,4.0,4.0,6.0,4.0,5.1571428571428575,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.4,4.0
35,1957,5.2,4.0,4.0,4.0,4.0,7.2,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
36,1958,5.324999999999999,4.0,4.0,4.0,4.0,4.0,7.4,4.0,7.1875,4.0,4.0,4.0,4.0,6.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
37,1959,5.14,4.0,4.0,4.0,4.0,4.0,6.4,4.0,5.0,4.0,4.0,4.0,4.0,6.68,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,4.0
38,1960,5.680000000000001,4.0,5.6,4.0,4.0,5.3,6.6,4.0,6.55,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
39,1961,5.0,4.0,4.0,4.0,4.0,6.0,5.9,4.0,6.5,4.0,4.0,4.0,4.0,6.5,4.0,4.0,4.0,4.0,4.0,4.0,6.4,4.0,4.0,4.0,6.1,4.0,4.0,4.0,4.0
40,1962,4.0,4.0,4.0,4.0,4.0,4.0,5.4,4.0,7.166666666666667,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.95,4.0,4.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0
